problem_id,display_name,dimension,sequential_evaluations,total_evaluations,seed_1_normalized_hv,seed_2_normalized_hv,seed_3_normalized_hv,seed_4_normalized_hv,seed_5_normalized_hv,median_normalized_hv
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,63,83,0.49878148427564006,0.49182080541829387,0.61532898692478233,0.61890932537466015,0.37539730591405668,0.49878148427564006
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,64,84,0.4992443899004807,0.49182080541829387,0.61639232489261142,0.61890932537466015,0.37539730591405668,0.4992443899004807
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,65,85,0.4992443899004807,0.49182080541829387,0.61639232489261142,0.61890932537466015,0.37544815227980766,0.4992443899004807
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,66,86,0.4992443899004807,0.4922734838748179,0.61639232489261142,0.61983728758403955,0.37544815227980766,0.4992443899004807
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,67,87,0.4992443899004807,0.49285113006552184,0.61639232489261142,0.61983728758403955,0.37544815227980766,0.4992443899004807
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,68,88,0.49924439101102669,0.49314664032955102,0.61639232489261142,0.61983728758403955,0.37544815227980766,0.49924439101102669
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,69,89,0.49924439101102669,0.49528869629558125,0.61639232489261142,0.6204790289168548,0.37550123147968234,0.49924439101102669
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,70,90,0.49924439101102669,0.49528869629558125,0.61639232489261142,0.6211030172407711,0.37552738510656786,0.49924439101102669
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,71,91,0.499534284484483,0.49528869629558125,0.6182760272332305,0.6211030172407711,0.37552738510656786,0.499534284484483
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,72,92,0.499534284484483,0.49528869629558125,0.6182760272332305,0.62262101973510375,0.37552738510656786,0.499534284484483
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,73,93,0.499534284484483,0.49528869629558125,0.6182760272332305,0.62262101973510375,0.37552738510656786,0.499534284484483
C2DTLZ2_D4_R02,C2-DTLZ2 D4,4,74,94,0.499534284484483,0.49528869629558125,0.6182760272332305,0.62262101973510375,0.37552738510656786,0.499534284484483
