beam_element_id,grid_a,grid_b,original_length_m,final_length_m
871497,523527,523137,0.0018024135779091607,0.0018024135779091607
871642,523651,523239,0.0019315384968655268,0.0019315384968655268
871853,523819,523352,0.0020602684127922015,0.0020602684127922015
872139,524053,522718,0.005687362166175933,0.005687362166175933
872140,524054,522719,0.005687359780473493,0.005687359780473493
872176,524071,522753,0.005204789165954999,0.005204789165954999
872215,524108,522753,0.0059340212213483704,0.0059340212213483704
872235,524127,522785,0.005688358723023142,0.005688358723023142
872236,524128,522786,0.005688356337738659,0.005688356337738659
872266,524154,522834,0.0051902101398086705,0.0051902101398086705
872301,524188,522834,0.005920726925456786,0.005920726925456786
872322,524207,522890,0.0056894134941478285,0.0056894134941478285
872323,524208,522891,0.005689411109305558,0.005689411109305558
872373,524239,522951,0.005175752923332958,0.005175752923332958
874089,525491,524034,0.0059472211465901635,0.0059472211465901635
874090,525491,524053,0.005687353537931084,0.005687353537931084
874091,525491,524054,0.0056873495631761094,0.0056873495631761094
874092,525491,524071,0.005204904583837148,0.005204904583837148
874093,525491,525456,0.006778716594571868,0.006778716594571868
874094,525491,525457,0.00677871325974674,0.00677871325974674
874125,525514,525491,0.006776386805128251,0.006776386805128251
874126,525515,525491,0.006776383469156577,0.006776383469156577
874144,525525,525519,0.002193794710855211,0.0015136983795138099
874154,525533,525514,0.00677638610477696,0.00677638610477696
874155,525534,525515,0.006776384102477689,0.006776384102477689
874156,525534,525525,0.0021937948905929603,0.003518343875946001
874178,525553,525534,0.00224123409170069,0.0035482120090892604
874184,525560,525553,0.0022412340845319196,0.0015816577266349807
874194,525570,525533,0.006766776917644228,0.006766776917644228
874195,525571,525534,0.006766774912501584,0.006766774912501584
874232,525596,524108,0.0059339034018638616,0.0059339034018638616
874233,525596,524127,0.005688350207831645,0.005688350207831645
874234,525596,524128,0.005688346233773097,0.005688346233773097
874235,525596,524154,0.00519020980789234,0.00519020980789234
874236,525596,525570,0.006766777616946389,0.006766777616946389
874237,525596,525571,0.006766774276237452,0.006766774276237452
874260,525616,525596,0.006763706318833719,0.006763706318833719
874261,525617,525596,0.006763702976607816,0.006763702976607816
874319,525645,525628,0.0023417552380585256,0.001613182373248559
874323,525647,525616,0.0067636652038184815,0.0067636652038184815
874324,525648,525617,0.006763663197753345,0.006763663197753345
874325,525648,525645,0.002341796705264004,0.003758774872972611
874330,525653,525648,0.002392533179419629,0.003792124897480878
874344,525668,525653,0.0023925333408723877,0.0016848420514597726
874358,525682,525647,0.006754905508714095,0.006754905508714095
874359,525683,525648,0.006754903500047512,0.006754903500047512
874405,525720,524188,0.005920726839208061,0.005920726839208061
874406,525720,524207,0.005689409264247915,0.005689409264247915
874407,525720,524208,0.005689405290929119,0.005689405290929119
874408,525720,524239,0.0051757361286465416,0.0051757361286465416
874409,525720,525682,0.006754863806822439,0.006754863806822439
874410,525720,525683,0.006754860460221364,0.006754860460221364
874435,525746,525720,0.006750977093901374,0.006750977093901374
874436,525747,525720,0.006750973745373572,0.006750973745373572
874474,525771,525752,0.00248851060130922,0.0017096488630006872
874493,525784,525746,0.006750935714957738,0.006750935714957738
874494,525785,525747,0.006750933705109986,0.006750933705109986
874495,525785,525771,0.002488469461227675,0.004000201027410249
876099,527004,525491,0.005203840471129081,0.005203840471129081
876127,527023,525491,0.005687020004643719,0.005687020004643719
876128,527024,525491,0.00568701602965563,0.00568701602965563
876143,527041,525491,0.005942891791408107,0.005942891791408107
876213,527097,525596,0.005190118429584337,0.005190118429584337
876242,527121,525596,0.005688029764044956,0.005688029764044956
876243,527122,525596,0.005688025789762523,0.005688025789762523
876277,527153,525596,0.00592900207943716,0.00592900207943716
876337,527194,525720,0.005176715498975307,0.005176715498975307
876377,527218,525720,0.005689211768140182,0.005689211768140182
876378,527219,525720,0.005689207794683455,0.005689207794683455
876419,527259,525720,0.005915105502560742,0.005915105502560742
